,ID,FULL TEXT,CREATED AT
0,1320230336488407040,@HarshadeSilvaMP @sjbsrilanka තම්බි තොප්පිය ගැන අපි ඉගෙන ගත්තේ ඉස්කෝලේ යන කාලේ. හැම මැතිවරණයකට පසුව තොප්පිය හැරැනු හැට් දැක දැක....,2020-10-25 05:06:55
1,1320024674856800258,@Its_DHD තැම්ස් තම්බි,2020-10-24 15:29:42
2,1319896932269977603,"ඉස්සර බයිසන් ලා

අම්මෝ රට සින්න වෙනෝ
අනේ ඇමරිකාවෙන් අපිව අල්ලන් යනෝ
අම්මෝ මෙන්න තම්බි රට අල්ලනො
සන්තානේ කොටි නැගිටිනවෝ

දැන් බයිසන්ලා

කොස් මැල්ලුමක් සාදාගන්නේ කෙසේද
කසුන් කල්හාරගේ අලුත් සිංදුව ලස්සනයි
ඔයාලා අලි පේර කනවද?
අපේ වත්තේ වැවුන පතෝල මෙන්න",2020-10-24 07:02:05
3,1319501969141108738,"හකීම් අන්තවාදී... මිනිහගේ පක්ෂේ අනිත් තම්බි ටික එහෙම නෑ... ඒ නිසා තමයි ඒ අය ආණ්ඩුවට පක්ෂ වුණේ..

මේවා හකීම් එක්ක එකතුවෙලා ගහපු plan කියලා උඹල තේරුම්ගන්න කැමති නෑ නේ ... 

😁

2/3 තනි සිංහල ආණ්ඩුවයි තම්බි හතරයි 😁",2020-10-23 04:52:39
4,1319361736865034240,"තම්බි කියලා ජාතියක් නෑ පුතා.., 
තම්බි කියන්නෙ හෙලවෙන මනසට 😂",2020-10-22 19:35:25
5,1319315509381267458,තනි සිංහල ආණ්ඩුව බේරගත්තෙ තම්බි ☝,2020-10-22 16:31:43
6,1319309709476675585,"@itzme_irEYa සිනිගම.යන්නඑක වියදමක්
පොල් වලට තව වියදමක්
තෙවයාඩා තම්බි ඉද ඔනක්ක🤷",2020-10-22 16:08:40
7,1319301177192796160,"2/3 තනි සිංහල ආන්ඩුව විපක්ෂයේ තම්බි හතර පස් දෙනා නැත්නම් කොරයි ලබ්බක් නේද ?

😂😂😂😂",2020-10-22 15:34:46
0,1321451668584632321,OnePlus සමාගම විසින් OnePlus Nord N10 5G සහ Nord N100 ජංගම දුරකතන එළිදැක්වීමට කටයුතු කරයි #TechNewsLK #SriLanka #News https://t.co/grGBVzLZnq,2020-10-28 14:00:03
1,1321440893207891969,බියගම නිදහස් වෙළෙඳ කලාපයෙන් පුද්ගලයන් 06 දෙනෙකුට කෝවිඩ් https://t.co/qvBfhrrJSd #news- sri lanka #feedly,2020-10-28 13:17:14
